Points,Longitude,Latitude,COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1,Sum,Genes
5960,317.15252,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5961,324.0851,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5962,331.01767,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5963,337.95024,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5964,344.88282,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5965,351.81539,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5966,358.74796,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5967,365.68053,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5968,372.61311,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5969,379.54568,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5970,386.47825,516.6888,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
5971,393.41083,516.6888,1,1,1,1,1,1,6,"COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1"
5972,400.3434,516.6888,1,1,1,1,1,1,6,"COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1"
5973,407.27597,516.6888,1,1,1,1,1,1,6,"COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1"
5974,414.20854,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5975,421.14112,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5976,428.07369,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5977,435.00626,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5978,441.93884,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5979,448.87141,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5980,455.80398,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5981,462.73655,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5982,469.66913,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5983,476.6017,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5984,483.53427,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5985,490.46685,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5986,497.39942,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5987,504.33199,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5988,511.26457,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
