Result,row.name,Longitude,Latitude,CXCL12,FBLN1,C3,S100A4,COL11A1
result.1,119,310.21995,33.59788,-0.10957239,-1.45E-01,8.92E-02,1.07E-01,-9.59E-02
result.1,120,317.15252,33.59788,-0.104705483,-1.32E-01,7.77E-02,1.14E-01,-9.13E-02
result.1,121,324.0851,33.59788,-0.101109447,-1.16E-01,6.67E-02,1.21E-01,-8.75E-02
result.1,122,331.01767,33.59788,-0.097310686,-9.60E-02,5.83E-02,1.29E-01,-8.36E-02
result.1,123,337.95024,33.59788,-0.091882982,-7.13E-02,5.41E-02,1.44E-01,-7.87E-02
result.1,124,344.88282,33.59788,-0.083690716,-4.14E-02,5.45E-02,1.65E-01,-7.16E-02
result.1,125,351.81539,33.59788,-0.072113023,-6.91E-03,5.88E-02,1.94E-01,-6.16E-02
result.1,126,358.74796,33.59788,-0.057189914,3.07E-02,6.55E-02,2.29E-01,-4.81E-02
result.1,127,365.68053,33.59788,-0.039608248,6.95E-02,7.31E-02,2.67E-01,-3.12E-02
result.1,128,372.61311,33.59788,-0.02049131,1.08E-01,8.04E-02,3.07E-01,-1.16E-02
result.1,129,379.54568,33.59788,-0.001056993,1.45E-01,8.73E-02,3.46E-01,9.83E-03
result.1,130,386.47825,33.59788,0.017707782,1.80E-01,9.44E-02,3.81E-01,3.15E-02
result.1,131,393.41083,33.59788,0.035212765,2.13E-01,1.02E-01,4.12E-01,5.18E-02
result.1,132,400.3434,33.59788,0.05121855,2.43E-01,1.12E-01,4.37E-01,6.92E-02
result.1,133,407.27597,33.59788,0.065643365,2.69E-01,1.22E-01,4.53E-01,8.23E-02
result.1,134,414.20854,33.59788,0.078364926,2.91E-01,1.33E-01,4.60E-01,9.02E-02
result.1,135,421.14112,33.59788,0.089152327,3.07E-01,1.43E-01,4.58E-01,9.25E-02
result.1,136,428.07369,33.59788,0.097762835,3.18E-01,1.52E-01,4.47E-01,8.96E-02
result.1,137,435.00626,33.59788,0.104138503,3.24E-01,1.59E-01,4.31E-01,8.25E-02
result.1,138,441.93884,33.59788,0.108595763,3.26E-01,1.65E-01,4.14E-01,7.31E-02
result.1,139,448.87141,33.59788,0.111878859,3.25E-01,1.70E-01,3.97E-01,6.32E-02
result.1,140,455.80398,33.59788,0.114997617,3.22E-01,1.77E-01,3.84E-01,5.45E-02
result.1,141,462.73655,33.59788,0.118945914,3.20E-01,1.88E-01,3.74E-01,4.79E-02
result.1,142,469.66913,33.59788,0.124515935,3.17E-01,2.04E-01,3.69E-01,4.35E-02
result.1,143,476.6017,33.59788,0.132300586,3.15E-01,2.24E-01,3.68E-01,4.09E-02
result.1,144,483.53427,33.59788,0.142753369,3.13E-01,2.48E-01,3.71E-01,3.96E-02
result.1,145,490.46685,33.59788,0.156137149,3.11E-01,2.75E-01,3.75E-01,3.98E-02
result.1,146,497.39942,33.59788,0.172371582,3.10E-01,3.04E-01,3.81E-01,4.19E-02
result.1,147,504.33199,33.59788,0.190940333,3.10E-01,3.31E-01,3.87E-01,4.62E-02
result.1,148,511.26457,33.59788,0.210974121,3.12E-01,3.56E-01,3.92E-01,5.27E-02
result.1,149,518.19714,33.59788,0.231468279,3.15E-01,3.79E-01,3.96E-01,6.08E-02
result.1,150,525.12971,33.59788,0.251503997,3.19E-01,4.00E-01,3.98E-01,6.96E-02
result.1,151,532.06228,33.59788,0.270379152,3.25E-01,4.18E-01,3.99E-01,7.84E-02
result.1,152,538.99486,33.59788,0.287638291,3.31E-01,4.34E-01,3.98E-01,8.64E-02
result.1,153,545.92743,33.59788,0.303039786,3.38E-01,4.48E-01,3.96E-01,9.33E-02
result.1,154,552.86,33.59788,0.316500822,3.44E-01,4.61E-01,3.92E-01,9.90E-02
result.1,155,559.79258,33.59788,0.328044549,3.51E-01,4.72E-01,3.87E-01,1.03E-01
result.1,156,566.72515,33.59788,0.337758599,3.57E-01,4.83E-01,3.81E-01,1.07E-01
result.1,157,573.65772,33.59788,0.345765918,3.63E-01,4.93E-01,3.75E-01,1.09E-01
result.1,158,580.59029,33.59788,0.352205657,3.68E-01,5.02E-01,3.68E-01,1.10E-01
result.1,159,587.52287,33.59788,0.357221342,3.73E-01,5.11E-01,3.61E-01,1.10E-01
result.1,160,594.45544,33.59788,0.360953913,3.77E-01,5.19E-01,3.53E-01,1.10E-01
result.1,161,46.78218,40.21557,-0.157409755,1.31E-01,2.93E-01,1.85E-01,9.03E-02
result.1,162,53.71475,40.21557,-0.165359352,1.40E-01,2.91E-01,1.97E-01,1.02E-01
result.1,163,60.64733,40.21557,-0.173670237,1.53E-01,2.91E-01,2.11E-01,1.16E-01
result.1,164,67.5799,40.21557,-0.182394712,1.68E-01,2.93E-01,2.30E-01,1.32E-01
result.1,165,74.51247,40.21557,-0.1915389,1.87E-01,2.98E-01,2.52E-01,1.49E-01
result.1,166,81.44504,40.21557,-0.201049667,2.09E-01,3.04E-01,2.79E-01,1.66E-01
result.1,167,88.37762,40.21557,-0.210861027,2.33E-01,3.12E-01,3.07E-01,1.82E-01
result.1,168,95.31019,40.21557,-0.221042348,2.57E-01,3.19E-01,3.36E-01,1.94E-01
result.1,169,102.24276,40.21557,-0.231999482,2.79E-01,3.23E-01,3.63E-01,2.01E-01
result.1,170,109.17534,40.21557,-0.244518751,2.91E-01,3.20E-01,3.84E-01,1.99E-01
result.1,171,116.10791,40.21557,-0.259427101,2.90E-01,3.06E-01,3.96E-01,1.88E-01
result.1,172,123.04048,40.21557,-0.276965766,2.72E-01,2.82E-01,3.99E-01,1.68E-01
